SMILES,pIC50
O=C(N(C/1C2=CC=CO2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.17
O=C(N(C/1CCCC)CCCN2C=CN=C2)NC1=N\CC(N3CCC(C=CC=C4)=C4C3)=O,5.12
O=C(N(C/1C2=CC(F)=CC=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.4
O=C(N(C/1C2=CC=C(F)C=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.51
O=C(N(C/1C2=CC=C(O)C=C2)CCCN3C=CN=C3)NC1=N\CC(N4CCC(C=CC=C5)=C5C4)=O,5.51
O=C(N(C/1C2=CC=CC(F)=C2)CCCN3C=CN=C3)NC1=N\CC4=CC=CN=C4,5.07
O=C(N(C/1C2=CC=C(Cl)C(F)=C2)CCCN3C=CN=C3)NC1=N/C4=CC=C(OC5=CC=CC=C5)C=C4,5.12
O=C(N(C/1C2OC=CCC2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.12
O=C(N(C/1C2=CC(F)=CC(F)=C2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.17
O=C(N(C/1C2=C(F)C=CC=C2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.17
O=C(N(C/1C2=CC(F)=CC=C2)CCCN3C=CN=C3)NC1=N/CCC(C4=CC=CC=C4)C5=CC=CC=C5,5.12
O=C(N(C/1C2=C(F)C(F)=CC=C2)CCCN3C=CN=C3)NC1=N/CC4=CC=CO4,5.07
O=C(N(C/1C2=CNC3=C2C=CC(C)=C3)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCC6=CC=CC=C6,5.89
O=C(N(C/1C2=CC(OCCO3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\C,6.4
S=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/CC(N5CCSCC5)=O,5.66
O=C(N(C/1C2=COC3=C(C=C(C)C=C3)C2=O)C4=CC(N=CN5)=C5C=C4)NC1=N/C6C(O)CCCC6,5.4
O=C(N(C/1CC(C)CC(C)(C)C)C2=CC(NC=N3)=C3C=C2)NC1=N/C4CCCCCC4,5.12
S=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CCCC5=CC=CC=C5,5.24
S=C(N(C/1C2=CC(Br)=CC(Br)=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CCCC5=CC=CC=C5,5.24
S=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC5=CC=CC=C5,5.24
S=C(N(C/1C2=C(F)C(Cl)=CC=C2F)C3=CC(N=CN4)=C4C=C3)NC1=N/CC(N5CCCC(O)C5)=O,5.66
O=C(N(C/1C2=CC=CC=C2Cl)C3=CC(N=CN4)=C4C=C3)NC1=N/CC(N5CCSCC5)=O,5.24
S=C(N(C/1C2=CC(OCO3)=C3C=C2Br)C4=CC(N=CN5)=C5C=C4)NC1=N/CC(NN6CCCCC6)=O,5.66
S=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CC5,5.89
O=C1N(/C=N/CCCN)C(C)C(C2=CC(C=CC=C3)=C3C=C2)N1C4=CC(N=CN5)=C5C=C4,5.24
O=C(N(C/1C2=CCCCC2)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C5=CC=CC=C5)CC6=CC=CC=C6,5.51
S=C(N(C/1C2=CC(Br)=CS2)C3=CC(NC=N4)=C4C=C3)NC1=N/CC(N5CCC(C=CC=C6)=C6C5)=O,5.89
S=C(N(C/1C2=C(F)C=CC(Cl)=C2F)C3=CC(NC=N4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CCC5,5.66
O=C(N(C/1C2CCC(C)=CC2C)C3=CC(N=CN4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CC5,5.31
S=C(N(C/1C2=CC=C(Cl)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5=C(Cl)C=CC(Cl)=C5,5.17
O=C(N(C/1)C2=CC(N=CN3)=C3C=C2)NC1=N/C4C(C=CC=C5)=C5CC4,5.4
O=C(N(C/1C2=CC=C(Br)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CC(N5CCSCC5)=O,5.4
S=C(N(C/1C2=CC=C(N3CCCC3)C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/C6CCCC6,5.51
O=C(N(C/1C2=CC=C(Cl)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C5CCCC5,8.4
O=C(N(C/1C2=CC(Br)=CS2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CCC5,5.66
O=C(N(C/1C2=C3C(C=CC=C3)=NC=C2)C4=CC(N=CN5)=C5C=C4)NC1=N/CCCN6CCCC6=O,5.51
S=C(N(C/1C2=CC(C=CC=C3)=C3S2)C4=CC(N=CN5)=C5C=C4)NC1=N/CCCN6CCCC6=O,5.12
S=C(N(C/1C2=CC(OCO3)=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CCCN6CCCC6=O,5.17
O=C(N(C/1C2=C(C)C=C(C)C=C2)C3=CC(NC=N4)=C4C=C3)NC1=N/C(C)(C)CC(C)(C)C,5.89
O=C(N(C/1C2=COC3=C(C=C(C)C=C3)C2=O)C4=CC(N=CN5)=C5C=C4)NC1=N/CCCN6CCOCC6,5.89
S=C(N(C/1C2=C(C=CC=C3)C3=NC=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CC(N6CCC(O)CC6)=O,5.89
O=C(N(C/1C2=CC3=NSN=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CN6C(C=CC=C7)=C7N=N6,6.4
S=C(N(C/1C2=CC=C(N(C)C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CN5C(C=CC=C6)=C6N=N5,5.89
S=C(N(C/1C2=CC=C3C(C=CN3)=C2)C4=CC(NC=N5)=C5C=C4)NC1=N/C6=C(Br)C=CC=C6,5.4
S=C(N(C/1C2=CC=CC=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C)C(OC)=O,5.12
S=C(N(C/1C2=CC(Br)=CS2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CCC5,5.24
S=C(N(C/1C2=CC=C(C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C(OC)=O)C,5.24
O=C(N(C/1C2=CC=C(N(C)C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CN5C(C=CC=C6)=C6N=N5,5.89
S=C(N(C/1C2CCC(C)=CC2C)C3=CC(N=CN4)=C4C=C3)NC1=N/C5=CC(OCCO6)=C6C=C5,5.03
O=C(N(C/1C2=CC(Br)=CC=C2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5=CC(OCCO6)=C6C=C5,6.4
O=C1C(O)=C(F)C(CCCCC)N1CCCN2C=NC=C2,5.31
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC=C(C)C=C3)N1CCCN4C=NC=C4,5.66
O=C1C(O)=C(C2=CC=CC(O)=C2)C(/C=C/CCC)N1CCCN3C=NC=C3,5.24
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC=C(NC=C4)C4=C3)N1CCCN5C=NC=C5,5.89
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=C(O)C=CC=C3)N1CCCN4C=NC=C4,5.66
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC=C(CO)O3)N1CCCN4C=NC=C4,5.24
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CNC4=C3C=CC=C4)N1CCCN5C=NC=C5,5.03
O=C1C(O)=C(C)C(C2=NNC=C2)N1CCCN3C=NC=C3,5.12
O=C1C(O)=C(C)C(C2=CCCCC2)N1CCCN3C=NC=C3,5.66
O=C1C(O)=C(C)C(C2=C(O)C=CC3=C2C=CC=C3)N1CCCN4C=NC=C4,5.66
O=C1C(O)=C(C)C(C2CC2)N1CCCN3C=NC=C3,5.66
O=C1C(O)=C(C)C(C2=CC=CC(O)=C2)N1CCCN3C=NC=C3,5.89
O=C1C(O)=C(C(C)C)C(C2=CC=C(C)C=C2)N1CCCN3C=NC=C3,6.4
O=C1C(O)=C(C(C)C)C(C2=CC=C(OC)C=C2)N1CCCN3C=NC=C3,6.4
O=C1C(O)=C(C(C)C)C(C2=C(O)C=CC=C2)N1CCCN3C=NC=C3,5.03
O=C1C(O)=C(C(C)C)C(C2=CC=CC=C2)N1CCCN3C=NC=C3,5.51
O=C1C(O)=C(C(C)C)C(C2=NC=CC=C2)N1CCCN3C=NC=C3,5.31
O=C1C(O)=C(C(C)C)C(C2=CC=CS2)N1CCCN3C=NC=C3,5.4
O=C1C(O)=C(C(C)C)C(C2=CC=CO2)N1CCCN3C=NC=C3,5.66
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CC(Cl)=CC(Cl)=C3O)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=NNC=C3)N1CCCN4C=NC=C4,5.51
O=C1C(O)=C(C2=CC=CC=C2)C(CCCCC)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CC=CC=C3)N1CCCN4C=NC=C4,5.51
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CCCCC3)N1CCCN4C=NC=C4,5.31
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CNC4=C3C=CC(C)=C4)N1CCCN5C=NC=C5,7.4
O=C1C(O)=C(C2=CC=CC=C2)C(C(F)(F)F)N1CCCN3C=NC=C3,6.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=NC=CN3)N1CCCN4C=NC=C4,5.89
O=C1C(O)=C(C2=CC=CC=C2)C(CC3=CC=CC=C3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=C(O)C=CC4=C3C=CC=C4)N1CCCN5C=NC=C5,6.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=NC=CC=C3)N1CCCN4C=NC=C4,6.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CC=CO3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CC=CC(Cl)=C3)N1CCCN4C=NC=C4,6.4
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CC=C(O)C=C3)N1CCCN4C=NC=C4,6.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC(Cl)=CC(Cl)=C4O)N1CCCN5C=NC=C5,5.89
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=C(NC=C5)C5=C4)N1CCCN6C=NC=C6,7.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=CC=C4O)N1CCCN5C=NC=C5,7.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=C(C)C(C)=C4)N1CCCN5C=NC=C5,7.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C)N1CCCN4C=NC=C4,6.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4OC=CCC4)N1CCCN5C=NC=C5,7.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CNC5=C4C=CC=C5)N1CCCN6C=NC=C6,6.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=NC=CN4)N1CCCN5C=NC=C5,5.89
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=CS4)N1CCCN5C=NC=C5,6.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=C(O)C=C4)N1CCCN5C=NC=C5,6.4
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=CC(O)=C4)N1CCCN5C=NC=C5,6.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(/C=C/CCC)N1CCCN3C=NC=C3,5.89
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=NNC=C3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C(O)CO)N1CCCN3C=NC=C3,6.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CC=C(C)O3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CC=C(CO)O3)N1CCCN4C=NC=C4,6.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CC=CC=C3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CNC4=C3C=CC(C)=C4)N1CCCN5C=NC=C5,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CNC4=C3C=CC=C4)N1CCCN5C=NC=C5,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=NC=CN3)N1CCCN4C=NC=C4,5.66
O=C1C(O)=C(C2=CC=C(O)C=C2)C(CCCC)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CC=CC=C3F)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CC=CC(O)=C3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(CCCCC)C(C2=CC(Cl)=CC(Cl)=C2O)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(CCCCC)C(C(O)CO)N1CCCN2C=NC=C2,6.4
O=C1C(O)=C(CCCCC)C(C2=CC=C(OC)C=C2)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(CCCCC)C(C2=CC=C(CO)O2)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(CCCCC)C(C2=CNC3=C2C=CC=C3)N1CCCN4C=NC=C4,7.4
O=C1C(O)=C(CCCCC)C(C2=NC=CN2)N1CCCN3C=NC=C3,5.66
O=C1C(O)=C(CCCCC)C(C2=CC=NC=C2)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(CCCCC)C(CCCC)N1CCCN2C=NC=C2,6.4
O=C1C(O)=C(CCCCC)C(C2=CC=CC=C2F)N1CCCN3C=NC=C3,7.4
O=C1C(O)=C(CC)C(C2=CC(Cl)=CC(Cl)=C2O)N1CCCN3C=NC=C3,5.66
O=C1C(O)=C(CC)C(C2=CC=C(C)C=C2)N1CCCN3C=NC=C3,6.4
O=C1C(O)=C(CC)C(C2=CC=CC=C2)N1CCCN3C=NC=C3,5.89
O=C1C(O)=C(CC)C(C2OC=CCC2)N1CCCN3C=NC=C3,6.4
O=C1C(O)=C(CC)C(C2=CC=CC=C2F)N1CCCN3C=NC=C3,5.89
O=C1C(O)=C(C(C2=CC(C=CC=C3)=C3S2)=O)C(C4=CC(C(F)(F)F)=C(Cl)C=C4)N1C5=CC=C(NC=N6)C6=C5,5.47
O=C1C(O)=C(C)C(C2=CC=C(O)C=C2O)N1C3=CC=C(NC=N4)C4=C3,5.47
O=C1C(O)=C(C2=CC=CC=C2)C(C3=CC=CC4=C3N=CC=C4)N1C5=CC=C(NC=N6)C6=C5,5.12
O=C1C(O)=C(C(C2=CC=NC=C2)=O)C(C3=CC=C(CO)O3)N1C4=CC=C(NC=N5)C5=C4,5.43
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=C(C)NC5=C4C=CC=C5)N1C6=CC=C(NC=N7)C7=C6,5.24
O=C1C(O)=C(CC)C(C2=C(F)C=CC(Cl)=C2F)N1C3=CC=C(NC=N4)C4=C3,5.42
O=C1C(O)=C(C(CC(C)C)=O)C(C2COCC2)N1C3=CC=C(NC=N4)C4=C3,6.31
O=C1C(O)=C(C(C2CC2)=O)C(C3=CC=NC4=C3C=CC=C4)N1C5=CC=C(NC=N6)C6=C5,5.52
O=C1C(O)=C(C(C2CCCCC2)=O)C(C3=CC=C(CO)O3)N1C4=CC=C(NC=N5)C5=C4,6.4
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC(C)=C(C)O3)N1C4=CC=C(NC=N5)C5=C4,5.55
O=C1C(O)=C(C(C2CC2)=O)C(C3=CC=C(C(O)=O)O3)N1C4=CC=C(NC=N5)C5=C4,6.4
O=C1C(O)=C(C)C(C2=COC(C=CC(C)=C3)=C3C2=O)N1C4=CC=C(NC=N5)C5=C4,6.51
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=C(O)C=CC(C)=C4)N1C5=CC=C(NC=N6)C6=C5,5.11
O=C1C(O)=C(C(C2CC2)=O)C(C3=CC(C)=C(O)C(C)=C3)N1C4=CC=C(NC=N5)C5=C4,6.51
O=C1C(O)=C(CC(O)=O)C(C2=CC=CC3=C2N=CC=C3)N1C4=CC=C(NC=N5)C5=C4,5.06
O=C1C(O)=C(C)C(C2=COC(C=CC=C3)=C3C2=O)N1C4=CC=C(NC=N5)C5=C4,5.41
O=C1C(O)=C(C(C)=O)C(C2=CN=C(C=CC=C3)C3=C2)N1C4=CC=C(NC=N5)C5=C4,7.4
O=C1C(O)=C(C(C)=O)C(C2=CC=CO2)N1C3=CC=C(NC=N4)C4=C3,5.62
O=C1C(O)=C(C(C)C)C(C2=CC=CO2)N1C3=CC=C(NC=N4)C4=C3,5.26
O=C1C(O)=C(C2=CC=CC=C2)C(C3=C(Cl)N=C(C=CC=C4)C4=C3)N1C5=CC=C(NC=N6)C6=C5,5.39
O=C1C(O)=C(C(C2CCCCC2)=O)C(C3=NNC=C3)N1C4=CC=C(NC=N5)C5=C4,5.28
O=C1C(O)=C(C(C(C)(C)C)=O)C(C2=C(F)C(F)=CC=C2)N1C3=CC=C(NC=N4)C4=C3,5.39
O=C1C(O)=C(C2=CC=C(O)C=C2)C(C3=CC=C(C(O)=O)O3)N1C4=CC=C(NC=N5)C5=C4,6.66
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC5=NON=C5C=C4)N1C6=CC=C(NC=N7)C7=C6,7.4
O=C1C(O)=C(C(C(C)(C)C)=O)C(C2=NC=CS2)N1C3=CC=C(NC=N4)C4=C3,5.2
O=C1C(O)=C(C2=CNC3=C2C=CC=C3)C(C4=CC=C(CO)O4)N1C5=CC=C(NC=N6)C6=C5,6.17
O=C1C(O)=C(C(C(C)(C)C)=O)C(C2=CC=CO2)N1C3=CC=C(NC=N4)C4=C3,5.39
O=C1C(O)=C(C(C2CCCCC2)=O)C(C3=NC=CN3)N1C4=CC=C(NC=N5)C5=C4,5.16
O=C1C(O)=C(C(C(C)(C)C)=O)C(C2=C(F)C(F)=CC(F)=C2F)N1C3=CC=C(NC=N4)C4=C3,5.07
O=C1C(O)=C(C(C2CCCCC2)=O)C(C3=CC=CN3)N1C4=CC=C(NC=N5)C5=C4,5.29
O=C1C(O)=C(C(C2CC2)=O)C(C3=CNC4=C3C=CC(C)=C4)N1C5=CC=C(NC=N6)C6=C5,5.13
O=C1C(O)=C(CCCCC)C(C2=CC=CO2)N1C3=CC=C(NC=N4)C4=C3,5.33
O=C1C(O)=C(C(CC(C)C)=O)C(C2=CC=CC(C)=C2)N1C3=CC=C(NC=N4)C4=C3,6.24
O=C1C(O)=C(F)C(C2=CC=CC=C2F)N1C3=CC=C(NC=N4)C4=C3,5.3
O=C1C(O)=C(C(C2=CC=CC=C2)=O)C(C3=C(F)C(F)=CC=C3)N1C4=CC=C(NC=N5)C5=C4,7.4
O=C1C(O)=C(C)C(C2=CC=CC(F)=C2F)N1C3=CC=C(NC=N4)C4=C3,7.28
O=C1C(O)=C(C)C(C2=C(Cl)C(F)=CC=C2F)N1C3=CC=C(NC=N4)C4=C3,6.33
